 734: T2_WOOD                                                          : Birch Logs
1225: T5_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Expert's Timeworn Walking Staff
1226: T5_ARTEFACT_2H_HAMMER_AVALON                                     : Expert's Massive Metallic Hand
1227: T5_ARTEFACT_2H_DUALMACE_AVALON                                   : Expert's Broken Oaths
1228: T5_ARTEFACT_2H_BOW_AVALON                                        : Expert's Immaculately Crafted Riser
1229: T5_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Expert's Humming Avalonian Whirligig
1230: T5_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Expert's Fractured Opaque Orb
1231: T5_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Expert's Glowing Harmonic Ring
1232: T5_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Expert's Chilled Crystalline Shard
1233: T5_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Expert's Hypnotic Harmonic Ring
1234: T5_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Expert's Messianic Curio
1235: T5_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Expert's Uprooted Perennial Sapling
1236: T6_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Master's Bloodstained Antiquities
1237: T6_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Master's Ruined Ancestral Vamplate
1238: T6_ARTEFACT_2H_AXE_AVALON                                        : Master's Avalonian Battle Memoir
1239: T6_ARTEFACT_2H_CLAYMORE_AVALON                                   : Master's Remnants of the Old King
1240: T6_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Master's Timeworn Walking Staff
1241: T6_ARTEFACT_2H_HAMMER_AVALON                                     : Master's Massive Metallic Hand
1242: T6_ARTEFACT_2H_DUALMACE_AVALON                                   : Master's Broken Oaths
1243: T6_ARTEFACT_2H_BOW_AVALON                                        : Master's Immaculately Crafted Riser
1244: T6_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Master's Humming Avalonian Whirligig
1245: T6_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Master's Fractured Opaque Orb
1246: T6_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Master's Glowing Harmonic Ring
1247: T6_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Master's Chilled Crystalline Shard
1248: T6_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Master's Hypnotic Harmonic Ring
1249: T6_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Master's Messianic Curio
1250: T6_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Master's Uprooted Perennial Sapling
1251: T7_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Grandmaster's Bloodstained Antiquities
1252: T7_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Grandmaster's Ruined Ancestral Vamplate
1253: T7_ARTEFACT_2H_AXE_AVALON                                        : Grandmaster's Avalonian Battle Memoir
1254: T7_ARTEFACT_2H_CLAYMORE_AVALON                                   : Grandmaster's Remnants of the Old King
1255: T7_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Grandmaster's Timeworn Walking Staff
1256: T7_ARTEFACT_2H_HAMMER_AVALON                                     : Grandmaster's Massive Metallic Hand
1257: T7_ARTEFACT_2H_DUALMACE_AVALON                                   : Grandmaster's Broken Oaths
1258: T7_ARTEFACT_2H_BOW_AVALON                                        : Grandmaster's Immaculately Crafted Riser
1259: T7_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Grandmaster's Humming Avalonian Whirligig
1260: T7_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Grandmaster's Fractured Opaque Orb
1261: T7_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Grandmaster's Glowing Harmonic Ring
1262: T7_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Grandmaster's Chilled Crystalline Shard
1263: T7_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Grandmaster's Hypnotic Harmonic Ring
1264: T7_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Grandmaster's Messianic Curio
1265: T7_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Grandmaster's Uprooted Perennial Sapling
1266: T8_ARTEFACT_2H_DAGGER_KATAR_AVALON                               : Elder's Bloodstained Antiquities
1267: T8_ARTEFACT_MAIN_SPEAR_LANCE_AVALON                              : Elder's Ruined Ancestral Vamplate
1268: T8_ARTEFACT_2H_AXE_AVALON                                        : Elder's Avalonian Battle Memoir
1269: T8_ARTEFACT_2H_CLAYMORE_AVALON                                   : Elder's Remnants of the Old King
1270: T8_ARTEFACT_2H_QUARTERSTAFF_AVALON                               : Elder's Timeworn Walking Staff
1271: T8_ARTEFACT_2H_HAMMER_AVALON                                     : Elder's Massive Metallic Hand
1272: T8_ARTEFACT_2H_DUALMACE_AVALON                                   : Elder's Broken Oaths
1273: T8_ARTEFACT_2H_BOW_AVALON                                        : Elder's Immaculately Crafted Riser
1274: T8_ARTEFACT_2H_CROSSBOW_CANNON_AVALON                            : Elder's Humming Avalonian Whirligig
1275: T8_ARTEFACT_MAIN_CURSEDSTAFF_AVALON                              : Elder's Fractured Opaque Orb
1276: T8_ARTEFACT_2H_FIRE_RINGPAIR_AVALON                              : Elder's Glowing Harmonic Ring
1277: T8_ARTEFACT_MAIN_FROSTSTAFF_AVALON                               : Elder's Chilled Crystalline Shard
1278: T8_ARTEFACT_2H_ARCANE_RINGPAIR_AVALON                            : Elder's Hypnotic Harmonic Ring
1279: T8_ARTEFACT_MAIN_HOLYSTAFF_AVALON                                : Elder's Messianic Curio
1280: T8_ARTEFACT_MAIN_NATURESTAFF_AVALON                              : Elder's Uprooted Perennial Sapling
1281: T4_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Adept's Ursine Guardian Remains
1282: T5_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Expert's Ursine Guardian Remains
1283: T6_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Master's Ursine Guardian Remains
1284: T7_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Grandmaster's Ursine Guardian Remains
1285: T8_ARTEFACT_2H_KNUCKLES_KEEPER                                   : Elder's Ursine Guardian Remains
1286: T4_ARTEFACT_2H_KNUCKLES_HELL                                     : Adept's Severed Demonic Horns
1287: T5_ARTEFACT_2H_KNUCKLES_HELL                                     : Expert's Severed Demonic Horns
1288: T6_ARTEFACT_2H_KNUCKLES_HELL                                     : Master's Severed Demonic Horns
1289: T7_ARTEFACT_2H_KNUCKLES_HELL                                     : Grandmaster's Severed Demonic Horns
1290: T8_ARTEFACT_2H_KNUCKLES_HELL                                     : Elder's Severed Demonic Horns
1291: T4_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Adept's Warped Raven Plate
1292: T5_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Expert's Warped Raven Plate
1293: T6_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Master's Warped Raven Plate
1294: T7_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Grandmaster's Warped Raven Plate
1295: T8_ARTEFACT_2H_KNUCKLES_MORGANA                                  : Elder's Warped Raven Plate
1296: T4_ARTEFACT_2H_KNUCKLES_AVALON                                   : Adept's Damaged Avalonian Gauntlet
1297: T5_ARTEFACT_2H_KNUCKLES_AVALON                                   : Expert's Damaged Avalonian Gauntlet
1298: T6_ARTEFACT_2H_KNUCKLES_AVALON                                   : Master's Damaged Avalonian Gauntlet
1299: T7_ARTEFACT_2H_KNUCKLES_AVALON                                   : Grandmaster's Damaged Avalonian Gauntlet
1300: T8_ARTEFACT_2H_KNUCKLES_AVALON                                   : Elder's Damaged Avalonian Gauntlet
1301: T4_ARTEFACT_MAIN_DAGGER_HELL                                     : Adept's Broken Demonic Fang
1302: T5_ARTEFACT_MAIN_DAGGER_HELL                                     : Expert's Broken Demonic Fang
1303: T6_ARTEFACT_MAIN_DAGGER_HELL                                     : Master's Broken Demonic Fang
1304: T7_ARTEFACT_MAIN_DAGGER_HELL                                     : Grandmaster's Broken Demonic Fang
1305: T8_ARTEFACT_MAIN_DAGGER_HELL                                     : Elder's Broken Demonic Fang
1306: T4_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Adept's Ancient Shield Core
1307: T5_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Expert's Ancient Shield Core
1308: T6_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Master's Ancient Shield Core
1309: T7_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Grandmaster's Ancient Shield Core
1310: T8_ARTEFACT_OFF_TOWERSHIELD_UNDEAD                               : Elder's Ancient Shield Core
1311: T4_ARTEFACT_OFF_SHIELD_HELL                                      : Adept's Infernal Shield Core
1312: T5_ARTEFACT_OFF_SHIELD_HELL                                      : Expert's Infernal Shield Core
1313: T6_ARTEFACT_OFF_SHIELD_HELL                                      : Master's Infernal Shield Core
1314: T7_ARTEFACT_OFF_SHIELD_HELL                                      : Grandmaster's Infernal Shield Core
1315: T8_ARTEFACT_OFF_SHIELD_HELL                                      : Elder's Infernal Shield Core
1316: T4_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Adept's Bloodforged Spikes
1317: T5_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Expert's Bloodforged Spikes
1318: T6_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Master's Bloodforged Spikes
1319: T7_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Grandmaster's Bloodforged Spikes
1320: T8_ARTEFACT_OFF_SPIKEDSHIELD_MORGANA                             : Elder's Bloodforged Spikes
1321: T4_ARTEFACT_OFF_SHIELD_AVALON                                    : Adept's Crushed Avalonian Heirloom
1322: T5_ARTEFACT_OFF_SHIELD_AVALON                                    : Expert's Crushed Avalonian Heirloom
1323: T6_ARTEFACT_OFF_SHIELD_AVALON                                    : Master's Crushed Avalonian Heirloom
1324: T7_ARTEFACT_OFF_SHIELD_AVALON                                    : Grandmaster's Crushed Avalonian Heirloom
1325: T8_ARTEFACT_OFF_SHIELD_AVALON                                    : Elder's Crushed Avalonian Heirloom
1326: T4_ARTEFACT_OFF_ORB_MORGANA                                      : Adept's Alluring Crystal
1327: T5_ARTEFACT_OFF_ORB_MORGANA                                      : Expert's Alluring Crystal
1328: T6_ARTEFACT_OFF_ORB_MORGANA                                      : Master's Alluring Crystal
1329: T7_ARTEFACT_OFF_ORB_MORGANA                                      : Grandmaster's Alluring Crystal
1330: T8_ARTEFACT_OFF_ORB_MORGANA                                      : Elder's Alluring Crystal
1331: T4_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Adept's Demonic Jawbone
1332: T5_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Expert's Demonic Jawbone
1333: T6_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Master's Demonic Jawbone
1334: T7_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Grandmaster's Demonic Jawbone
1335: T8_ARTEFACT_OFF_DEMONSKULL_HELL                                  : Elder's Demonic Jawbone
1336: T4_ARTEFACT_OFF_TOTEM_KEEPER                                     : Adept's Inscribed Stone
1337: T5_ARTEFACT_OFF_TOTEM_KEEPER                                     : Expert's Inscribed Stone
1338: T6_ARTEFACT_OFF_TOTEM_KEEPER                                     : Master's Inscribed Stone
1339: T7_ARTEFACT_OFF_TOTEM_KEEPER                                     : Grandmaster's Inscribed Stone
1340: T8_ARTEFACT_OFF_TOTEM_KEEPER                                     : Elder's Inscribed Stone
1341: T4_ARTEFACT_OFF_CENSER_AVALON                                    : Adept's Severed Celestial Keepsake
1342: T5_ARTEFACT_OFF_CENSER_AVALON                                    : Expert's Severed Celestial Keepsake
1343: T6_ARTEFACT_OFF_CENSER_AVALON                                    : Master's Severed Celestial Keepsake
1344: T7_ARTEFACT_OFF_CENSER_AVALON                                    : Grandmaster's Severed Celestial Keepsake
1345: T8_ARTEFACT_OFF_CENSER_AVALON                                    : Elder's Severed Celestial Keepsake
1346: T4_ARTEFACT_OFF_HORN_KEEPER                                      : Adept's Runed Horn
1347: T5_ARTEFACT_OFF_HORN_KEEPER                                      : Expert's Runed Horn
1348: T6_ARTEFACT_OFF_HORN_KEEPER                                      : Master's Runed Horn
1349: T7_ARTEFACT_OFF_HORN_KEEPER                                      : Grandmaster's Runed Horn
1350: T8_ARTEFACT_OFF_HORN_KEEPER                                      : Elder's Runed Horn
1351: T4_ARTEFACT_OFF_JESTERCANE_HELL                                  : Adept's Hellish Handle
1352: T5_ARTEFACT_OFF_JESTERCANE_HELL                                  : Expert's Hellish Handle
1353: T6_ARTEFACT_OFF_JESTERCANE_HELL                                  : Master's Hellish Handle
1354: T7_ARTEFACT_OFF_JESTERCANE_HELL                                  : Grandmaster's Hellish Handle
1355: T8_ARTEFACT_OFF_JESTERCANE_HELL                                  : Elder's Hellish Handle
1356: T4_ARTEFACT_OFF_LAMP_UNDEAD                                      : Adept's Ghastly Candle
1357: T5_ARTEFACT_OFF_LAMP_UNDEAD                                      : Expert's Ghastly Candle
1358: T6_ARTEFACT_OFF_LAMP_UNDEAD                                      : Master's Ghastly Candle
1359: T7_ARTEFACT_OFF_LAMP_UNDEAD                                      : Grandmaster's Ghastly Candle
1360: T8_ARTEFACT_OFF_LAMP_UNDEAD                                      : Elder's Ghastly Candle
1361: T4_ARTEFACT_OFF_TALISMAN_AVALON                                  : Adept's Shattered Avalonian Memento
1362: T5_ARTEFACT_OFF_TALISMAN_AVALON                                  : Expert's Shattered Avalonian Memento
1363: T6_ARTEFACT_OFF_TALISMAN_AVALON                                  : Master's Shattered Avalonian Memento
1364: T7_ARTEFACT_OFF_TALISMAN_AVALON                                  : Grandmaster's Shattered Avalonian Memento
1365: T8_ARTEFACT_OFF_TALISMAN_AVALON                                  : Elder's Shattered Avalonian Memento
1366: T4_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Adept's Ancient Padding
1367: T5_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Expert's Ancient Padding
1368: T6_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Master's Ancient Padding
1369: T7_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Grandmaster's Ancient Padding
1370: T8_ARTEFACT_HEAD_PLATE_UNDEAD                                    : Elder's Ancient Padding
1371: T4_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Adept's Ancient Chain Rings
1372: T5_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Expert's Ancient Chain Rings
1373: T6_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Master's Ancient Chain Rings
1374: T7_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Grandmaster's Ancient Chain Rings
1375: T8_ARTEFACT_ARMOR_PLATE_UNDEAD                                   : Elder's Ancient Chain Rings
1376: T4_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Adept's Ancient Bindings
1377: T5_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Expert's Ancient Bindings
1378: T6_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Master's Ancient Bindings
1379: T7_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Grandmaster's Ancient Bindings
1380: T8_ARTEFACT_SHOES_PLATE_UNDEAD                                   : Elder's Ancient Bindings
1381: T4_ARTEFACT_HEAD_PLATE_HELL                                      : Adept's Demonic Scraps
1382: T5_ARTEFACT_HEAD_PLATE_HELL                                      : Expert's Demonic Scraps
1383: T6_ARTEFACT_HEAD_PLATE_HELL                                      : Master's Demonic Scraps
1384: T7_ARTEFACT_HEAD_PLATE_HELL                                      : Grandmaster's Demonic Scraps
1385: T8_ARTEFACT_HEAD_PLATE_HELL                                      : Elder's Demonic Scraps
1386: T4_ARTEFACT_ARMOR_PLATE_HELL                                     : Adept's Demonic Plates
1387: T5_ARTEFACT_ARMOR_PLATE_HELL                                     : Expert's Demonic Plates
1388: T6_ARTEFACT_ARMOR_PLATE_HELL                                     : Master's Demonic Plates
1389: T7_ARTEFACT_ARMOR_PLATE_HELL                                     : Grandmaster's Demonic Plates
1390: T8_ARTEFACT_ARMOR_PLATE_HELL                                     : Elder's Demonic Plates
1391: T4_ARTEFACT_SHOES_PLATE_HELL                                     : Adept's Demonic Filling
1392: T5_ARTEFACT_SHOES_PLATE_HELL                                     : Expert's Demonic Filling
1393: T6_ARTEFACT_SHOES_PLATE_HELL                                     : Master's Demonic Filling
1394: T7_ARTEFACT_SHOES_PLATE_HELL                                     : Grandmaster's Demonic Filling
1395: T8_ARTEFACT_SHOES_PLATE_HELL                                     : Elder's Demonic Filling
1396: T4_ARTEFACT_HEAD_PLATE_KEEPER                                    : Adept's Carved Skull Padding
1397: T5_ARTEFACT_HEAD_PLATE_KEEPER                                    : Expert's Carved Skull Padding
1398: T6_ARTEFACT_HEAD_PLATE_KEEPER                                    : Master's Carved Skull Padding
1399: T7_ARTEFACT_HEAD_PLATE_KEEPER                                    : Grandmaster's Carved Skull Padding
1400: T8_ARTEFACT_HEAD_PLATE_KEEPER                                    : Elder's Carved Skull Padding
1401: T4_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Adept's Preserved Animal Fur
1402: T5_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Expert's Preserved Animal Fur
1403: T6_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Master's Preserved Animal Fur
1404: T7_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Grandmaster's Preserved Animal Fur
1405: T8_ARTEFACT_ARMOR_PLATE_KEEPER                                   : Elder's Preserved Animal Fur
1406: T4_ARTEFACT_SHOES_PLATE_KEEPER                                   : Adept's Inscribed Bindings
1407: T5_ARTEFACT_SHOES_PLATE_KEEPER                                   : Expert's Inscribed Bindings
1408: T6_ARTEFACT_SHOES_PLATE_KEEPER                                   : Master's Inscribed Bindings
1409: T7_ARTEFACT_SHOES_PLATE_KEEPER                                   : Grandmaster's Inscribed Bindings
1410: T8_ARTEFACT_SHOES_PLATE_KEEPER                                   : Elder's Inscribed Bindings
1411: T4_ARTEFACT_HEAD_PLATE_AVALON                                    : Adept's Exalted Visor
1412: T5_ARTEFACT_HEAD_PLATE_AVALON                                    : Expert's Exalted Visor
1413: T6_ARTEFACT_HEAD_PLATE_AVALON                                    : Master's Exalted Visor
1414: T7_ARTEFACT_HEAD_PLATE_AVALON                                    : Grandmaster's Exalted Visor
1415: T8_ARTEFACT_HEAD_PLATE_AVALON                                    : Elder's Exalted Visor
1416: T4_ARTEFACT_ARMOR_PLATE_AVALON                                   : Adept's Exalted Plating
1417: T5_ARTEFACT_ARMOR_PLATE_AVALON                                   : Expert's Exalted Plating
1418: T6_ARTEFACT_ARMOR_PLATE_AVALON                                   : Master's Exalted Plating
1419: T7_ARTEFACT_ARMOR_PLATE_AVALON                                   : Grandmaster's Exalted Plating
1420: T8_ARTEFACT_ARMOR_PLATE_AVALON                                   : Elder's Exalted Plating
1421: T4_ARTEFACT_SHOES_PLATE_AVALON                                   : Adept's Exalted Greave
1422: T5_ARTEFACT_SHOES_PLATE_AVALON                                   : Expert's Exalted Greave
1423: T6_ARTEFACT_SHOES_PLATE_AVALON                                   : Master's Exalted Greave
1424: T7_ARTEFACT_SHOES_PLATE_AVALON                                   : Grandmaster's Exalted Greave
1425: T8_ARTEFACT_SHOES_PLATE_AVALON                                   : Elder's Exalted Greave
1426: T4_ARTEFACT_ARMOR_PLATE_FEY                                      : Adept's Veilweaver Carapace
1427: T5_ARTEFACT_ARMOR_PLATE_FEY                                      : Expert's Veilweaver Carapace
1428: T6_ARTEFACT_ARMOR_PLATE_FEY                                      : Master's Veilweaver Carapace
1429: T7_ARTEFACT_ARMOR_PLATE_FEY                                      : Grandmaster's Veilweaver Carapace
1430: T8_ARTEFACT_ARMOR_PLATE_FEY                                      : Elder's Veilweaver Carapace
1431: T4_ARTEFACT_HEAD_PLATE_FEY                                       : Adept's Veilweaver Mandibles
1432: T5_ARTEFACT_HEAD_PLATE_FEY                                       : Expert's Veilweaver Mandibles
1433: T6_ARTEFACT_HEAD_PLATE_FEY                                       : Master's Veilweaver Mandibles
1434: T7_ARTEFACT_HEAD_PLATE_FEY                                       : Grandmaster's Veilweaver Mandibles
1435: T8_ARTEFACT_HEAD_PLATE_FEY                                       : Elder's Veilweaver Mandibles
1436: T4_ARTEFACT_SHOES_PLATE_FEY                                      : Adept's Veilweaver Claws
1437: T5_ARTEFACT_SHOES_PLATE_FEY                                      : Expert's Veilweaver Claws
1438: T6_ARTEFACT_SHOES_PLATE_FEY                                      : Master's Veilweaver Claws
1439: T7_ARTEFACT_SHOES_PLATE_FEY                                      : Grandmaster's Veilweaver Claws
1440: T8_ARTEFACT_SHOES_PLATE_FEY                                      : Elder's Veilweaver Claws
1441: T4_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Adept's Imbued Visor
1442: T5_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Expert's Imbued Visor
1443: T6_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Master's Imbued Visor
1444: T7_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Grandmaster's Imbued Visor
1445: T8_ARTEFACT_HEAD_LEATHER_MORGANA                                 : Elder's Imbued Visor
1446: T4_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Adept's Imbued Leather Folds
1447: T5_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Expert's Imbued Leather Folds
1448: T6_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Master's Imbued Leather Folds
1449: T7_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Grandmaster's Imbued Leather Folds
1450: T8_ARTEFACT_ARMOR_LEATHER_MORGANA                                : Elder's Imbued Leather Folds
1451: T4_ARTEFACT_SHOES_LEATHER_MORGANA                                : Adept's Imbued Soles
1452: T5_ARTEFACT_SHOES_LEATHER_MORGANA                                : Expert's Imbued Soles
1453: T6_ARTEFACT_SHOES_LEATHER_MORGANA                                : Master's Imbued Soles
1454: T7_ARTEFACT_SHOES_LEATHER_MORGANA                                : Grandmaster's Imbued Soles
1455: T8_ARTEFACT_SHOES_LEATHER_MORGANA                                : Elder's Imbued Soles
1456: T4_ARTEFACT_HEAD_LEATHER_HELL                                    : Adept's Demonhide Padding
1457: T5_ARTEFACT_HEAD_LEATHER_HELL                                    : Expert's Demonhide Padding
1458: T6_ARTEFACT_HEAD_LEATHER_HELL                                    : Master's Demonhide Padding
1459: T7_ARTEFACT_HEAD_LEATHER_HELL                                    : Grandmaster's Demonhide Padding
1460: T8_ARTEFACT_HEAD_LEATHER_HELL                                    : Elder's Demonhide Padding
1461: T4_ARTEFACT_ARMOR_LEATHER_HELL                                   : Adept's Demonhide Leather
1462: T5_ARTEFACT_ARMOR_LEATHER_HELL                                   : Expert's Demonhide Leather
1463: T6_ARTEFACT_ARMOR_LEATHER_HELL                                   : Master's Demonhide Leather
1464: T7_ARTEFACT_ARMOR_LEATHER_HELL                                   : Grandmaster's Demonhide Leather
1465: T8_ARTEFACT_ARMOR_LEATHER_HELL                                   : Elder's Demonhide Leather
1466: T4_ARTEFACT_SHOES_LEATHER_HELL                                   : Adept's Demonhide Bindings
1467: T5_ARTEFACT_SHOES_LEATHER_HELL                                   : Expert's Demonhide Bindings
1468: T6_ARTEFACT_SHOES_LEATHER_HELL                                   : Master's Demonhide Bindings
1469: T7_ARTEFACT_SHOES_LEATHER_HELL                                   : Grandmaster's Demonhide Bindings
1470: T8_ARTEFACT_SHOES_LEATHER_HELL                                   : Elder's Demonhide Bindings
1471: T4_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Adept's Ghastly Visor
1472: T5_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Expert's Ghastly Visor
1473: T6_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Master's Ghastly Visor
1474: T7_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Grandmaster's Ghastly Visor
1475: T8_ARTEFACT_HEAD_LEATHER_UNDEAD                                  : Elder's Ghastly Visor
1476: T4_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Adept's Ghastly Leather
1477: T5_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Expert's Ghastly Leather
1478: T6_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Master's Ghastly Leather
1479: T7_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Grandmaster's Ghastly Leather
1480: T8_ARTEFACT_ARMOR_LEATHER_UNDEAD                                 : Elder's Ghastly Leather
1481: T4_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Adept's Ghastly Bindings
1482: T5_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Expert's Ghastly Bindings
1483: T6_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Master's Ghastly Bindings
1484: T7_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Grandmaster's Ghastly Bindings
1485: T8_ARTEFACT_SHOES_LEATHER_UNDEAD                                 : Elder's Ghastly Bindings
1486: T4_ARTEFACT_HEAD_LEATHER_AVALON                                  : Adept's Augured Padding
1487: T5_ARTEFACT_HEAD_LEATHER_AVALON                                  : Expert's Augured Padding
1488: T6_ARTEFACT_HEAD_LEATHER_AVALON                                  : Master's Augured Padding
1489: T7_ARTEFACT_HEAD_LEATHER_AVALON                                  : Grandmaster's Augured Padding
1490: T8_ARTEFACT_HEAD_LEATHER_AVALON                                  : Elder's Augured Padding
1491: T4_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Adept's Augured Sash
1492: T5_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Expert's Augured Sash
1493: T6_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Master's Augured Sash
1494: T7_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Grandmaster's Augured Sash
1495: T8_ARTEFACT_ARMOR_LEATHER_AVALON                                 : Elder's Augured Sash
1496: T4_ARTEFACT_SHOES_LEATHER_AVALON                                 : Adept's Augured Fasteners
1497: T5_ARTEFACT_SHOES_LEATHER_AVALON                                 : Expert's Augured Fasteners
1498: T6_ARTEFACT_SHOES_LEATHER_AVALON                                 : Master's Augured Fasteners
1499: T7_ARTEFACT_SHOES_LEATHER_AVALON                                 : Grandmaster's Augured Fasteners
1500: T8_ARTEFACT_SHOES_LEATHER_AVALON                                 : Elder's Augured Fasteners
1501: T4_ARTEFACT_ARMOR_LEATHER_FEY                                    : Adept's Untarnished Griffin Feathers
1502: T5_ARTEFACT_ARMOR_LEATHER_FEY                                    : Expert's Untarnished Griffin Feathers
1503: T6_ARTEFACT_ARMOR_LEATHER_FEY                                    : Master's Untarnished Griffin Feathers
1504: T7_ARTEFACT_ARMOR_LEATHER_FEY                                    : Grandmaster's Untarnished Griffin Feathers
1505: T8_ARTEFACT_ARMOR_LEATHER_FEY                                    : Elder's Untarnished Griffin Feathers
1506: T4_ARTEFACT_HEAD_LEATHER_FEY                                     : Adept's Flawless Griffin Beak
1507: T5_ARTEFACT_HEAD_LEATHER_FEY                                     : Expert's Flawless Griffin Beak
1508: T6_ARTEFACT_HEAD_LEATHER_FEY                                     : Master's Flawless Griffin Beak
1509: T7_ARTEFACT_HEAD_LEATHER_FEY                                     : Grandmaster's Flawless Griffin Beak
1510: T8_ARTEFACT_HEAD_LEATHER_FEY                                     : Elder's Flawless Griffin Beak
1511: T4_ARTEFACT_SHOES_LEATHER_FEY                                    : Adept's Griffin Underfur
1512: T5_ARTEFACT_SHOES_LEATHER_FEY                                    : Expert's Griffin Underfur
1513: T6_ARTEFACT_SHOES_LEATHER_FEY                                    : Master's Griffin Underfur
1514: T7_ARTEFACT_SHOES_LEATHER_FEY                                    : Grandmaster's Griffin Underfur
